"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AABR07025986.2",5.6976526600518e-19,-0.533168763686404,0.872,0.964,1.18243385654055e-14
"Slc4a4",3.5473580771318e-16,0.928960956695811,0.719,0.514,7.36183221747162e-12
"Gpc5",6.41632947754969e-16,-0.331466476993763,0.982,0.996,1.33158085647589e-11
"Aifm3",2.7062109466065e-14,0.931494676042868,0.438,0.216,5.61619957749246e-10
"Cacna2d3",1.34034525130329e-13,0.605607983197511,0.737,0.531,2.78161850002972e-09
"Etnppl",1.17725604803282e-12,1.04422419393109,0.296,0.12,2.44315947648252e-08
"Apoe",1.23547112132262e-12,-0.419316731612573,0.995,0.984,2.56397321808083e-08
"Itih3",2.59256011799416e-12,0.736284468405088,0.797,0.652,5.38034001287328e-08
"Camk2g",5.30934847988288e-12,0.648091663442142,0.673,0.454,1.10184909003009e-07
"Erbb4",7.08311512177928e-12,1.28874968888826,0.288,0.13,1.46995888122285e-07
"Npas3",3.10189475258311e-11,0.434199030435327,0.938,0.855,6.43736218003573e-07
"Acss1",3.94445876434533e-11,0.600862277936536,0.509,0.288,8.18593527364586e-07
"Ncam2",7.06258512540475e-11,0.611125734507346,0.515,0.304,1.46569829107525e-06
"Kcnd2",7.55434686938275e-11,1.23405532110569,0.401,0.237,1.567753605803e-06
"Nwd1",1.41233945859313e-10,0.542681104229358,0.641,0.408,2.93102807841832e-06
"Pnpla7",7.51725392566388e-10,0.640624576172425,0.387,0.201,1.56005570719303e-05
"Pals2",1.47543070153255e-09,0.867872313139865,0.254,0.114,3.0619613348905e-05
"Ptprm",1.87576640982709e-09,0.730800432087212,0.405,0.234,3.89277803031416e-05
"ENSRNOG00000068238",1.96905524234166e-09,0.697750008313403,0.358,0.192,4.08638034443165e-05
"Crlf1",3.24483258826074e-09,0.946571826544424,0.285,0.139,6.73400107041752e-05
"Phactr3",5.23500936169428e-09,0.621156405841847,0.389,0.213,0.000108642149283241
"Shisa9",1.03759957856947e-08,0.764237405944684,0.392,0.231,0.000215333040540523
"Spon1",1.0586464039366e-08,1.01188813165282,0.254,0.123,0.000219700888208962
"Sorbs3",2.10148284066818e-08,0.845358709153093,0.25,0.118,0.000436120733923867
"Paqr8",3.97040646379179e-08,0.625817262409943,0.356,0.196,0.00082397845343071
"Agt",4.98946415003402e-08,1.24669516461163,0.25,0.129,0.00103546349505656
"Sorbs1",5.26125664514174e-08,0.44426876692602,0.701,0.498,0.00109186859156627
"Mtss2",8.83680955200026e-08,0.608162217781809,0.405,0.235,0.00183390308632661
"Mitf",1.12568450624718e-07,0.724743083502251,0.277,0.145,0.00233613305581478
"Bcl2",1.23781422133821e-07,0.524352939491444,0.42,0.255,0.00256883585354318
"Zfp521",2.01176959591925e-07,0.643459774146134,0.325,0.183,0.00417502544241122
"Tsc22d4",3.68932425134544e-07,0.41902709190988,0.372,0.211,0.00765645461881719
"Rock1",3.95214009665998e-07,0.44791825069431,0.389,0.226,0.00820187634259846
"Dlgap1",3.98309844194262e-07,0.615842629809922,0.27,0.145,0.00826612419656352
"Sorcs1",5.91234452827059e-07,-0.813739061152322,0.299,0.4,0.01226988859952
"Spred1",7.2595125496661e-07,0.534570322746982,0.327,0.189,0.015065666394322
"Farp1",1.11946188232483e-06,0.449120622622412,0.584,0.418,0.0232321924438871
"Ncam1",1.26996346237472e-06,0.396224087511972,0.682,0.522,0.0263555517346626
"Fermt2",1.36658630152848e-06,0.544550062829794,0.383,0.232,0.0283607655156206
"Tmtc2",2.05454124130491e-06,0.414703820051301,0.608,0.427,0.0426378943808007
