"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcas1",3.61403752140866e-29,0.710239535665446,0.874,0.662,7.5002120681794e-25
"Gpc5",6.93513796298416e-15,-0.508790898178866,0.727,0.827,1.4392491814581e-10
"Mapt",2.66018908176908e-14,0.583555171104338,0.612,0.393,5.52069040139537e-10
"Lsamp",4.67585218749158e-13,-0.187672440949597,1,0.999,9.70379604470127e-09
"Cables1",1.30367628620033e-12,0.712741622488903,0.327,0.164,2.70551939675155e-08
"Zmynd8",1.45611800401571e-12,0.64339301423453,0.42,0.24,3.0218816937338e-08
"Apoe",1.72560019188538e-12,-0.455462101661945,0.9,0.908,3.58113807821974e-08
"Dnah5",2.91928630304417e-12,0.834954846316491,0.3,0.15,6.05839486470756e-08
"Nrcam",3.65533435028347e-12,0.498270207107835,0.757,0.578,7.58591537714328e-08
"Zeb2",1.54368141378285e-11,0.463724570654282,0.657,0.478,3.20360203802354e-07
"Phactr3",3.68746744697484e-11,0.538199993921449,0.577,0.381,7.65260119270688e-07
"Zfp536",6.8700717093436e-11,0.900063008871487,0.267,0.136,1.42574598184008e-06
"Ppfibp1",2.87201838580589e-10,0.51697681947592,0.542,0.355,5.96029975606296e-06
"Cdh20",3.19426066115398e-10,0.342246171949561,0.775,0.596,6.62904915009285e-06
"Lamc1",5.55787982651596e-10,0.610767378255525,0.399,0.239,1.15342680039686e-05
"Col27a1",5.60136958107596e-10,0.599256181160899,0.288,0.151,1.16245222916069e-05
"Vps13c",1.28519534041575e-09,0.504989014361956,0.508,0.338,2.6671658899648e-05
"Il1rapl1",2.53717405682227e-09,-0.235444100927422,0.993,0.987,5.26539732012326e-05
"Etv1",2.74729710350931e-09,0.513423988182613,0.387,0.234,5.70146567891288e-05
"AABR07021536.1",2.7623738630905e-09,0.363617265436355,0.779,0.625,5.73275447807172e-05
"Zswim6",3.576860216766e-09,0.512234801916041,0.392,0.24,7.42305800785448e-05
"Robo2",4.50163616798035e-09,0.500662826805994,0.337,0.197,9.34224553940962e-05
"Vcan",4.82458903322294e-09,0.321973295838235,0.878,0.773,0.000100124696206476
"Map7",7.52730774580884e-09,0.489565215644129,0.377,0.23,0.000156214217648771
"Cst3",8.19704131211815e-09,0.3704741427209,0.886,0.797,0.000170113198350388
"Dhx36",2.14020263423224e-08,0.50683496585382,0.379,0.234,0.000444156252682217
"Sema5a",2.92208349106261e-08,0.41620097122985,0.55,0.384,0.000606419986900223
"Ddx5",3.12305592572448e-08,0.41521509559831,0.471,0.303,0.000648127796265601
"Pik3r1",3.12422412716825e-08,0.544683284539142,0.429,0.289,0.000648370233111227
"AABR07028615.1",5.5509095997547e-08,0.50723035404547,0.518,0.356,0.00115198026923709
"Kank1",6.09859047368179e-08,0.419706639822107,0.52,0.353,0.00126564048100318
"Tshz2",7.83582899110703e-08,0.438943097838689,0.327,0.196,0.00162616959052444
"Dock10",8.87624763111341e-08,0.356703076314866,0.655,0.477,0.00184208767088497
"LOC108352541",9.27513700244534e-08,0.408602538098381,0.477,0.319,0.00192486918211748
"Plpp4",1.00109589038229e-07,0.648365285901977,0.259,0.145,0.00207757430131036
"Nrg3",1.05056191277973e-07,-0.31381424356844,0.869,0.879,0.00218023113759178
"Phyhipl",1.29228457676457e-07,0.544907314362906,0.35,0.223,0.0026818781821595
"Rab27b",1.85188611849045e-07,0.505122170912964,0.366,0.235,0.00384321926170322
"Tspan7",3.57032220958192e-07,0.394172510737507,0.591,0.442,0.00740948968154536
"Wipf1",4.06769749191385e-07,0.42270434008734,0.309,0.187,0.00844169260496882
"Itpr2",4.34492771021743e-07,0.337746135663421,0.494,0.334,0.00901702847701423
"Rbfox1",4.38442837620221e-07,-0.404174138961757,0.75,0.746,0.00909900420913245
"Col5a3",5.58461407375769e-07,0.30290455221779,0.791,0.677,0.0115897495872693
"Dscaml1",5.6650323094743e-07,0.315165684885667,0.587,0.419,0.011756641551852
"Epn2",8.33219917641004e-07,0.216835927633525,0.882,0.758,0.0172918129508038
"Pbx1",8.37693333615503e-07,0.365966067949917,0.512,0.369,0.0173846497525225
"Sash1",9.98890598917246e-07,0.377124143383512,0.398,0.26,0.0207299765993296
"Stard9",1.02424831559598e-06,0.302922135583942,0.444,0.295,0.0212562252935634
"Nfib",1.06480212845244e-06,0.292164332339517,0.602,0.441,0.0220978385717735
"Maml3",1.27548203200545e-06,0.336899303086864,0.455,0.313,0.0264700786102092
"Abca8a",1.35077374322165e-06,0.30114021694305,0.543,0.381,0.0280326074930788
"Caln1",1.40007081040281e-06,0.404793831858766,0.327,0.208,0.0290556695282896
"Tanc1",1.46207684633242e-06,0.533697796232154,0.27,0.166,0.0303424807919367
"Alcam",1.5060239994805e-06,0.26520355087594,0.725,0.558,0.0312545160612187
"Tcf7l2",1.52492683426817e-06,0.667552864754029,0.288,0.179,0.0316468065915673
"Igf1r",1.54054487117732e-06,0.417791309443561,0.272,0.164,0.0319709277115429
"Usp54",1.61586449199673e-06,0.29328864213096,0.612,0.451,0.033534035802408
"Nav2",1.62177790813578e-06,0.279173570201686,0.716,0.563,0.0336567569275418
"Armh4",1.90641141591448e-06,0.286578853630055,0.388,0.253,0.0395637561144732
"Tns2",2.03545490349116e-06,0.460511873109396,0.273,0.167,0.042241795612152
"Cspg4",2.3635780132143e-06,0.413123738236649,0.509,0.37,0.0490513345082364
"Foxn3",2.37054306242899e-06,0.473130583946297,0.353,0.234,0.0491958801745889
