"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Trpc4",0,-3.04265600277762,0.067,0.331,0
"Dscam",0,-1.34261889589553,0.203,0.503,0
"Pip5k1b",0,-1.31024444368449,0.1,0.302,0
"Dner",0,-1.27616353192246,0.134,0.358,0
"Ccdc85a",0,-1.26727399174115,0.2,0.402,0
"ENSRNOG00000063733",0,-1.18202241817648,0.231,0.478,0
"Nxph1",0,-1.08664218319587,0.108,0.328,0
"Nalf1",0,-1.03176686551746,0.487,0.714,0
"Mast4",0,-0.967183696638928,0.226,0.478,0
"Pcdh15",0,-0.964535339855958,0.216,0.45,0
"AABR07000398.1",0,-0.729184682861569,0.667,0.853,0
"Caln1",0,0.573280170596726,0.865,0.763,0
"Cnksr2",0,0.56010154291724,0.867,0.764,0
"Cacna2d3",0,0.551837321637889,0.916,0.752,0
"Rarb",0,0.537595728816463,0.867,0.674,0
"Nkain2",0,0.524500509530135,0.988,0.945,0
"Kcnq5",0,0.477775046861136,0.926,0.863,0
"Kcnd2",0,0.476452613136789,0.979,0.931,0
"Erc2",0,0.475048208419919,0.968,0.948,0
"Phactr1",0,0.470215086077673,0.96,0.963,0
"Rbfox1",0,0.384917642231476,0.985,0.978,0
"Nrg1",6.26244526279326e-306,0.451036509677055,0.928,0.86,1.29964526538748e-301
"Tenm2",2.30448641100248e-301,-0.488516600531853,0.953,0.971,4.78250064875346e-297
"Fmnl2",1.67729552188134e-298,-0.931888588512352,0.293,0.507,3.48089139656035e-294
"Unc5d",4.16876113245783e-288,-1.02548641727848,0.291,0.496,8.65142997818974e-284
"ENSRNOG00000070284",1.60933859883224e-287,-0.664380648718018,0.527,0.727,3.33986039415656e-283
"Lrrc7",3.7310485588241e-287,0.318000744839115,0.974,0.973,7.74304507412765e-283
"Cdh20",5.36325052211228e-287,-1.06939160490028,0.142,0.33,1.11303538085396e-282
"ENSRNOG00000068039",6.91471247228724e-283,-0.988486772661067,0.238,0.445,1.43501027937377e-278
"Fgf14",1.56796510043976e-279,0.277889247891197,0.995,0.993,3.25399797294264e-275
"Edil3",2.13422015749028e-278,-0.756730006942293,0.359,0.575,4.42914709283958e-274
"Zeb2",1.22670712330155e-267,-0.99061991670435,0.177,0.367,2.5457852929877e-263
"Egfem1",1.76866166163087e-262,-0.610668430890623,0.445,0.661,3.67050354638254e-258
"Sez6l",5.9928332640997e-262,-1.1968641033747,0.107,0.272,1.24369268729861e-257
"Meis2",2.95328376682001e-260,0.449642229476397,0.893,0.787,6.12894980128157e-256
"Pde7b",1.9435126079147e-258,0.550960258089883,0.831,0.733,4.03337171520539e-254
"Mtss1",4.90508702724185e-255,-1.00587969312869,0.145,0.324,1.0179527107635e-250
"Dock10",1.50275352667233e-254,-0.791240324826603,0.47,0.647,3.11866439390309e-250
"Slc8a1",1.27014913667644e-253,-1.26070691161224,0.541,0.675,2.63594050334461e-249
"Nfia",1.61433709786844e-250,-1.00588308201621,0.163,0.342,3.35023377920637e-246
"Plp1",2.45791230923399e-249,-1.33282172569421,0.192,0.36,5.10090541535329e-245
"ENSRNOG00000067998",7.73253414889474e-245,0.514772658495238,0.853,0.774,1.60473281192013e-240
"Plcb4",8.7004718902571e-245,-0.870901252254515,0.158,0.336,1.80560893138506e-240
"Mbp",2.86701441477612e-244,-0.974079803164241,0.221,0.404,5.94991501498488e-240
"LOC103691527",1.15866565997774e-243,-0.741599403678217,0.285,0.487,2.40457884415181e-239
"Slc24a3",2.78558366870894e-240,-0.801520227067882,0.319,0.51,5.78092178767167e-236
"Gnas",7.76092561360785e-232,-0.862523959541733,0.199,0.385,1.61062489259204e-227
"Epha6",1.30576207091661e-230,0.459733951894564,0.884,0.836,2.70984802577323e-226
"Clstn2",2.98055996342662e-228,-0.954953178476491,0.101,0.25,6.18555609209927e-224
"Enpp2",3.25973579198169e-227,-1.23856952556339,0.104,0.252,6.76492968909959e-223
"Sdk1",4.08554536820214e-226,-1.24686498977955,0.162,0.325,8.47873230262989e-222
"Kcnt2",2.31985455285629e-222,-1.25213241630237,0.122,0.274,4.81439415354266e-218
"Shisa9",2.92793366969185e-222,0.478637521665445,0.841,0.742,6.0763407447115e-218
"Parp8",3.19731906161951e-221,-0.838040982311652,0.246,0.431,6.63539624857897e-217
"Vsnl1",6.75483546423558e-221,-0.970791763871138,0.214,0.389,1.40183100389281e-216
"Ttc28",4.80917669717024e-220,-0.936103158500529,0.207,0.384,9.98048439963741e-216
"Dgkb",4.08073459363744e-219,0.355161972455398,0.962,0.931,8.46874850217577e-215
"Zfp608",1.3522014515356e-217,-0.9145226747757,0.137,0.298,2.80622367237184e-213
