"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plp1",8.9283283806697e-79,-0.37146058003561,0.921,0.962,1.85289598884038e-74
"ENSRNOG00000067598",3.52014630298202e-73,1.42184466359866,0.262,0.111,7.3053596225786e-69
"Mast4",2.9096607710333e-51,0.32251545060628,0.944,0.906,6.03841899812542e-47
"Apod",1.02032150487875e-48,-0.363595933923058,0.789,0.871,2.11747321907487e-44
"Pde4d",7.41561848513943e-44,-0.715213715588441,0.309,0.441,1.53896330422099e-39
"Csmd3",1.10506821340076e-43,0.952973883024559,0.279,0.156,2.29334806327061e-39
"AABR07000398.1",6.22264546395255e-37,-0.770509837119995,0.231,0.346,1.29138561313407e-32
"Actb",1.52549276068613e-31,-0.682912375067764,0.212,0.32,3.16585512625193e-27
"Fam135b",1.16671446602047e-27,-0.635766057241479,0.195,0.292,2.42128253133228e-23
"Mal",1.56222698110651e-27,-0.516379810137813,0.298,0.409,3.24208965389034e-23
"ENSRNOG00000070284",7.37819705734789e-26,-0.685318730268005,0.172,0.261,1.53119723531141e-21
"Mobp",5.08249364734932e-25,0.356258354903502,0.705,0.641,1.0547699066344e-20
"Pcdh9",1.53743245874562e-24,0.196429261484403,0.981,0.98,3.19063358163479e-20
"Ptgds",3.56268680207425e-23,-0.196482862892008,0.819,0.887,7.3936439203447e-19
"Spock3",2.84795778123378e-22,0.256221920176667,0.838,0.799,5.91036678339447e-18
"Trim36",1.24760029181421e-21,-0.622833626526242,0.176,0.257,2.58914488560204e-17
"Ncam2",2.45525674724757e-21,0.26382272371535,0.907,0.889,5.09539432756288e-17
"Pex5l",1.33217245431902e-20,0.278921131288308,0.834,0.793,2.76465749444827e-16
"Nkain2",8.11618451403599e-20,0.150857695829923,0.983,0.981,1.68435177219789e-15
"Sec11c",2.01737468489544e-19,-0.455019658003314,0.294,0.384,4.18665768356351e-15
"Cst3",2.13930036620956e-19,0.548782331138686,0.285,0.204,4.43969004999469e-15
"Kirrel3",1.04611567064661e-18,0.344741404414451,0.588,0.512,2.17100385129291e-14
"Pde4b",5.78263836904059e-18,0.152021456552387,0.985,0.982,1.20007094072699e-13
"Mettl7a",1.76937343620234e-17,0.479113379123229,0.347,0.267,3.67198069215072e-13
"Pllp",3.34333740648413e-17,-0.468705510121292,0.286,0.367,6.93842811967652e-13
"Aplp1",6.10552164302104e-17,-0.310589203110137,0.431,0.518,1.26707890657616e-12
"Stmn1",6.65283988841728e-17,-0.433398454818791,0.256,0.338,1.38066386204324e-12
"Appl2",9.6358921300079e-17,0.499137480018638,0.312,0.239,1.99973669374054e-12
"Qdpr",1.67407846450316e-16,-0.398079138509692,0.318,0.402,3.47421503738341e-12
"Scd2",1.76975937259682e-16,-0.34306981374795,0.364,0.45,3.67278162595019e-12
"Cnp",4.98217266234413e-16,-0.438711936999636,0.264,0.341,1.03395029261628e-11
"Jhy",5.80152234697882e-16,-0.44264042525296,0.242,0.32,1.20398993266852e-11
"Frmd5",6.29005110649432e-16,0.149094984631991,0.965,0.952,1.30537430613077e-11
"Gpm6b",8.50069180939794e-15,0.260615977899555,0.602,0.531,1.76414857120435e-10
"Hsp90aa1",6.05130978358167e-13,-0.427597629874232,0.189,0.252,1.2558283193867e-08
"Pkp4",9.49246501267133e-13,-0.272894338999186,0.493,0.563,1.96997126407968e-08
"Grm3",2.98340418572169e-12,0.153356892969605,0.944,0.939,6.19145870662822e-08
"Hecw2",4.05199987455342e-12,0.340704566106352,0.357,0.286,8.40911533966071e-08
"Magi2",8.5983496539737e-12,0.136058979651085,0.964,0.959,1.78441550368916e-07
"Fnbp1",1.22614197650066e-11,0.142139830516806,0.929,0.918,2.54461244383182e-07
"Cdc37l1",8.10035302058022e-11,0.321762361854409,0.425,0.365,1.68106626236101e-06
"Hapln2",1.90712622594157e-10,-0.295524393857537,0.338,0.402,3.95785905669653e-06
"Dst",2.38161200593771e-10,-0.223955484215633,0.566,0.62,4.94255939592252e-06
"Pnisr",3.4142508216997e-10,0.309025035235934,0.406,0.35,7.08559473027338e-06
"Ptn",4.56621635503842e-10,-0.271220634198283,0.387,0.448,9.47626880161123e-06
"Mog",6.86655373397521e-10,0.146884023813368,0.873,0.84,1.42501589641187e-05
"Cmtm5",7.08249697235558e-10,-0.388122607576319,0.202,0.258,1.46983059667295e-05
"Dnaaf9",1.0678132257817e-09,0.238279693923289,0.496,0.442,2.21603278746476e-05
"Sntg1",1.37113940535119e-09,0.238851191777882,0.633,0.59,2.84552560792532e-05
"Ppp2r2b",1.42053239285379e-09,-0.219943315927178,0.491,0.554,2.94803087488947e-05
"Atrn",2.53416565421105e-09,0.283206122941758,0.416,0.358,5.25915398218419e-05
"Sorcs1",2.6329714345276e-09,0.238271273227835,0.586,0.541,5.46420561807514e-05
"Bcl2l1",6.78150384130287e-09,0.398564536397954,0.288,0.238,0.000140736549218558
"Prpf4b",3.22187571301471e-08,0.293154053603419,0.365,0.314,0.000668635866721944
"Cadm2",3.33054633411058e-08,0.210742810886069,0.652,0.613,0.000691188280717969
"Bcas3",3.72059402692959e-08,0.253083907717493,0.421,0.369,0.000772134878408698
"Lsamp",1.5322628533555e-07,0.275357034300673,0.598,0.575,0.00317990509956867
"Ube2e2",1.56962257861684e-07,-0.302444733465242,0.233,0.281,0.00325743773740352
"Clmn",2.70688750403883e-07,0.334451436882395,0.305,0.26,0.00561760363713178
"Trim2",2.74034386927675e-07,0.143274044474025,0.697,0.655,0.00568703563191003
"Tuba1a",3.0211736034334e-07,-0.283932522313339,0.222,0.271,0.00626984157920535
"ENSRNOG00000065844",3.40912366699511e-07,0.250086193873674,0.396,0.349,0.00707495434611495
"Kcnq3",5.15269724012015e-07,0.195719144776644,0.641,0.605,0.0106933925824213
"Adpgk",1.13085201355352e-06,-0.27117442664184,0.242,0.285,0.0234685718372761
"Rcan2",2.01378901246223e-06,0.328996498247596,0.255,0.215,0.0417921633756286
"Plxdc2",2.13633198969528e-06,0.26673447210463,0.409,0.368,0.0443352977821462
"St6galnac3",2.36241246551458e-06,-0.162296087779883,0.584,0.621,0.049027145896824
"Bcas1",2.36471047739738e-06,0.168787285471195,0.671,0.642,0.0490748365374279
